Country,YearMon,Region,Load,NetIM,Nuclear,NRenew,Renew,DAPrice,treat,Population,mean_HDD,sum_HDD,mean_CDD,sum_CDD,Retail,Generation,Capacity,CP00,CP01,CP02,CP03,CP04,CP041,CP044,CP045,CP0451,CP0452,CP04521,CP04522,CP0453,CP0454,CP04541,CP04549,CP0455,CP05,CP06,CP07,CP071,CP072,CP073,CP08,CP09,CP10,CP11,CP12,CP121,CP123,CP124,CP125,CP126,CP127,ELC_GAS,FUEL,GD,IGD,IGD_NNRG,NRG,SERV,TOT_X_NRG,GDP
AT,Jan 2019,CWE,24866.4012,2456.51436,0,7213.9644,13982.34432,57.78381720430107,0,8932664,NA,NA,NA,NA,NA,NA,NA,105.62,105.46,109.11,96.36,106.67,113.26,105.68,101.57,99.09,91.88,91.88,NA,107.51,113.49,NA,113.49,105.51,105.2,107.39,102.96,100.46,105.99,97.79,94.99,105.61,108.1,111.65,106.21,104.62,106.29,108.98,106.27,105.26,113.43,100.41,103.55,103.04,101.74,101.7,102.22,108.6,105.94,91979.8
AT,Feb 2019,CWE,21656.1864,2725.93768,0,5906.0436,11865.23896,47.19459821428571,0,8932664,NA,NA,NA,NA,NA,NA,NA,105.61,105.43,109.32,93.41,106.98,113.46,105.9,101.83,99.14,91.88,91.88,NA,109.94,113.65,NA,113.65,105.51,105.08,107.47,102.58,100.18,105.99,96.21,94.76,105.9,108.34,112.78,106.4,104.81,106.72,108.77,106.49,105.26,113.7,100.45,103.55,102.57,101.08,100.87,102.24,109.12,105.93,NA
AT,Mar 2019,CWE,22350.8232,1341.62572,0,3378.6712,16495.24712,36.05023521505376,0,8932664,NA,NA,NA,NA,NA,NA,NA,106.81,105.85,110.12,107.67,107.25,113.65,106.1,101.96,99.09,91.88,91.88,NA,111.4,113.8,NA,113.8,105.51,105.55,107.8,102.89,100.54,107.14,94.07,94.53,106.18,108.34,112.26,106.67,104.93,108.04,109.04,106.49,105.26,113.7,100.44,105.47,104.97,104.2,104.57,103.14,108.94,107.16,NA
AT,Apr 2019,CWE,19513.0264,-1241.35092,0,2706.9908,17062.83,39.87320833333333,0,8932664,NA,NA,NA,NA,NA,NA,NA,107.12,105.68,109.77,108.27,107.39,113.85,106.2,102.1,99.09,91.88,91.88,NA,113.51,113.02,NA,113.02,105.51,106.21,107.16,105.79,100.01,108.53,106.46,94.08,105.02,108.33,112.1,106.88,105.12,108.39,109.12,106.82,105.26,113.7,100.37,108.22,105.19,104.6,104.75,104.39,109.35,107.39,92500
AT,May 2019,CWE,20439.834,-549.00092,0,827.2776,19465.25672,39.98657594086021,0,8932664,NA,NA,NA,NA,NA,NA,NA,107.18,105.85,109.62,108.49,107.77,114.43,106.61,102.3,99.09,91.88,91.88,NA,116.26,112.37,NA,112.37,105.51,106.15,107.39,105.6,99.96,109.69,102.31,94.12,105.44,108.33,111.59,107.23,105.94,108.19,109.26,106.82,105.26,114.16,100.31,110.81,105.48,104.97,104.91,105.58,109.15,107.36,NA
AT,Jun 2019,CWE,18968.0296,-2264.96024,0,1231.798,19116.1584,33.86225694444445,0,8932664,NA,NA,NA,NA,NA,NA,NA,107.11,105.68,110,104.52,107.94,114.83,106.61,102.46,100.51,92.19,92.19,NA,110.06,112.65,NA,112.65,105.51,105.83,108.02,105.91,100.33,108.6,106.41,92.45,106.59,108.25,112.09,107.03,105.49,108.11,109.26,106.82,105.26,114.17,101.13,107.56,104.77,103.99,103.96,104.49,109.82,107.37,NA
AT,Jul 2019,CWE,19865.172,1073.58708,0,2678.4284000000002,14839.66992,39.87044018817204,0,8932664,NA,NA,NA,NA,NA,NA,NA,106.26,105.98,110.22,91.06,108.12,115.22,106.7,102.51,100.51,92.19,92.19,NA,110.9,112.81,NA,112.81,105.26,105.11,107.46,105.5,100.28,108.2,105.45,92.37,107.39,108.71,112.94,106.69,105.13,106.5,109.27,106.99,105.26,114.17,101.1,107.09,102.8,101.15,100.45,104.25,110.27,106.47,93019.8
AT,Aug 2019,CWE,19383.7188,1587.4082,0,3061.5332,13552.14992,37.20400873655914,0,8932664,NA,NA,NA,NA,NA,NA,NA,106.34,105.94,110.06,90.58,108.36,115.22,107.2,102.84,100.87,92.41,92.41,NA,109.46,113.76,NA,113.76,106.28,105.63,107.48,105.59,100.09,107.77,107.39,92.48,107.14,108.79,113.29,106.71,104.61,107.85,109.31,107.11,105.26,114.17,101.6,105.78,102.71,101.05,100.42,103.9,110.53,106.58,NA
AT,Sep 2019,CWE,19376.7636,2379.63028,0,4023.3872,11927.0188,37.39676736111111,0,8932664,NA,NA,NA,NA,NA,NA,NA,107.42,105.43,110.15,108.81,108.5,115.22,107.3,103.1,100.87,92.41,92.41,NA,112.5,112.9,NA,112.9,106.59,105.79,107.54,105.4,100.19,108.25,104.88,92.28,106.1,109.56,112.6,107.13,104.97,109.1,110.27,107.11,105.26,114.47,101.58,106.82,105.19,104.64,104.79,104.37,110,107.71,NA
AT,Oct 2019,CWE,21017.134000000002,3723.68416,0,5688.4688,10772.06112,40.435430107526884,0,8932664,NA,NA,NA,NA,NA,NA,NA,107.72,105.9,110.19,111.82,108.62,115.22,107.49,103.27,100.87,92.41,92.41,NA,112.15,114.28,NA,114.28,107.14,106.39,107.41,105.28,100.1,108.53,103.62,91.91,106.17,110.49,112.49,107.15,105.07,109.66,110.3,106.69,105.26,114.47,101.8,106.78,105.86,105.43,105.77,104.48,109.87,108.03,95837.5
AT,Nov 2019,CWE,21843.5352,2060.40316,0,5755.0852,13079.4228,43.52771527777778,0,8932664,NA,NA,NA,NA,NA,NA,NA,107.92,105.6,110.29,111.7,108.74,115.61,107.59,103.16,100.87,92.41,92.41,NA,109.98,115.35,NA,115.35,107.14,106.57,107.69,104.87,100.9,108.63,99.93,92.16,107.62,110.49,113.03,107.34,104.47,112.42,110.36,106.75,105.26,114.49,101.9,106.33,105.95,105.63,106.05,104.32,110.2,108.27,NA
AT,Dec 2019,CWE,23060.2896,4352.82676,0,5714.9244,12221.53032,38.428860887096775,0,8932664,NA,NA,NA,NA,NA,NA,NA,108.69,106.04,109.92,111.71,108.96,116,108.05,103.25,100.87,92.41,92.41,NA,110.51,115.83,NA,115.83,107.14,106.85,107.73,105.9,101.08,108.57,105.28,91.83,108.82,110.4,115.59,107.81,105.58,112.58,110.3,106.75,105.26,114.49,101.95,106.24,105.99,105.59,106.01,104.3,111.82,109.11,NA
AT,Jan 2020,CWE,23925.9116,4403.30468,0,7980.6868,9636.02432,40.04618951612903,0,8932664,NA,NA,NA,NA,NA,NA,NA,107.91,106.76,110.71,98.34,109.72,116.39,108.36,104.95,105.47,91.05,91.05,NA,110.41,116.85,NA,116.85,106.24,106.65,109.02,105.92,102.22,109.24,101.82,90.85,107.74,110.42,115.19,108.36,106.79,111.13,111.05,107.24,105.53,115.81,103.84,106.56,104.88,103.77,103.43,105.39,111.4,108.16,89051.1
AT,Feb 2020,CWE,21795.6292,1769.60124,0,4600.7572,14679.629280000001,30.62608117816092,0,8932664,NA,NA,NA,NA,NA,NA,NA,107.92,107.43,111.17,94.84,109.73,116.78,108.36,103.97,105.47,91.05,91.05,NA,101.56,116.24,NA,116.24,106.24,107,109.43,104.54,102.1,108.22,97.53,90.79,108.67,110.58,116.49,108.5,107.05,110.42,112.05,107.24,105.53,117.02,103.79,103.01,104.43,102.89,102.81,103.55,111.95,108.33,NA
AT,Mar 2020,CWE,21268.9992,1448.29216,0,4428.2708,14218.63272,24.364015456989247,0,8932664,NA,NA,NA,NA,NA,NA,NA,108.5,107.85,111.04,108.01,109.6,116.97,108.39,103.01,105.47,91.05,91.05,NA,92.41,116.12,NA,116.12,106.24,107.72,109.71,102.71,102.45,104.71,97.1,90.43,108.03,110.58,116.02,108.63,106.78,111.83,112.18,107.31,105.53,117.11,103.78,95.67,105.74,104.6,105.94,99.79,111.69,109.28,NA
