Country,unitID,YearMon,timeID,post_treat,treated,CP00,GD,SERV,IGD,FOOD,NRG,IGD_NNRG,TOT_X_NRG
AT,1,2014-01,1,0,0,98.01,99.38,96.42,99.97,97.96,109.03,97.24,96.95
AT,1,2014-02,2,0,0,98.3,99.47,96.94,100.09,97.94,109.16,97.37,97.25
AT,1,2014-03,3,0,0,99.22,101.2,96.93,102.37,98.31,108.89,100.41,98.29
AT,1,2014-04,4,0,0,99.35,101.5,96.85,102.67,98.61,108.81,100.83,98.43
AT,1,2014-05,5,0,0,99.44,101.62,96.9,102.72,98.95,109.04,100.81,98.51
AT,1,2014-06,6,0,0,99.43,101.22,97.34,102.24,98.73,109.56,100.04,98.45
AT,1,2014-07,7,0,0,98.77,99.42,98.02,99.69,98.75,109.36,96.79,97.75
AT,1,2014-08,8,0,0,98.79,99.16,98.36,99.4,98.59,108.53,96.65,97.85
AT,1,2014-09,9,0,0,99.69,101.26,97.86,102.35,98.58,109.59,100.18,98.73
AT,1,2014-10,10,0,0,99.7,101.45,97.66,102.53,98.81,107.93,100.91,98.9
AT,1,2014-11,11,0,0,99.84,101.45,97.97,102.46,98.97,106.17,101.34,99.23
AT,1,2014-12,12,0,0,99.88,100.62,99.02,101.22,99.17,101.78,101.05,99.7
AT,1,2015-01,13,0,0,98.48,98.12,98.91,97.61,99.36,98.73,97.28,98.46
AT,1,2015-02,14,0,0,98.75,98.24,99.34,97.71,99.54,99.77,97.1,98.65
AT,1,2015-03,15,0,0,100.15,100.65,99.56,100.93,99.99,101.89,100.64,99.98
AT,1,2015-04,16,0,0,100.28,101.14,99.27,101.47,100.34,102.08,101.29,100.11
AT,1,2015-05,17,0,0,100.45,101.37,99.37,101.74,100.45,103.41,101.25,100.16
AT,1,2015-06,18,0,0,100.4,100.94,99.79,101.2,100.29,103.62,100.49,100.1
AT,1,2015-07,19,0,0,99.89,99.09,100.83,98.65,100.14,102.8,97.43,99.61
AT,1,2015-08,20,0,0,99.73,98.66,100.96,98.18,99.85,99.98,97.64,99.7
AT,1,2015-09,21,0,0,100.25,100.37,100.12,100.53,99.98,98.28,101.2,100.44
AT,1,2015-10,22,0,0,100.35,100.52,100.15,100.76,99.94,97.02,101.87,100.67
AT,1,2015-11,23,0,0,100.32,100.62,99.97,100.9,99.95,97.09,102.03,100.63
AT,1,2015-12,24,0,0,100.95,100.28,101.73,100.32,100.18,95.33,101.79,101.48
AT,1,2016-01,25,0,0,99.85,98.22,101.72,97.36,100.4,93.06,98.62,100.5
AT,1,2016-02,26,0,0,99.76,97.96,101.84,96.84,100.78,91.76,98.35,100.53
AT,1,2016-03,27,0,0,100.82,99.7,102.1,99.24,100.88,92.65,101.2,101.6
AT,1,2016-04,28,0,0,100.93,100.25,101.73,99.77,101.44,93.87,101.52,101.61
AT,1,2016-05,29,0,0,101.04,100.53,101.64,100.31,101.1,95.96,101.58,101.52
AT,1,2016-06,30,0,0,101.04,100.35,101.85,100.19,100.76,97.34,101.01,101.39
AT,1,2016-07,31,0,0,100.49,98.32,103,97.36,100.72,96.33,97.63,100.89
AT,1,2016-08,32,0,0,100.33,97.78,103.25,96.59,100.77,95.03,97.03,100.83
AT,1,2016-09,33,0,0,101.33,100.21,102.63,100.06,100.59,96.1,101.21,101.83
AT,1,2016-10,34,0,0,101.72,101.11,102.43,101.13,101.05,97.33,102.25,102.14
AT,1,2016-11,35,0,0,101.79,101.31,102.36,101.38,101.15,96.89,102.7,102.26
AT,1,2016-12,36,0,0,102.55,101.27,104.02,101.32,101.17,98.05,102.26,102.97
AT,1,2017-01,37,0,0,101.91,100.12,103.98,99.31,102.18,99.3,99.34,102.16
AT,1,2017-02,38,0,0,102.13,99.98,104.62,98.79,102.97,99.11,98.73,102.42
AT,1,2017-03,39,0,0,102.94,101.71,104.35,101.39,102.52,98.41,102.26,103.37
AT,1,2017-04,40,0,0,103.27,101.95,104.78,101.56,102.95,98.37,102.48,103.73
AT,1,2017-05,41,0,0,103.21,102.07,104.52,101.52,103.46,97.51,102.68,103.74
AT,1,2017-06,42,0,0,103.06,101.44,104.93,100.68,103.36,96.46,101.89,103.68
