Country,unitID,YearMon,timeID,post_treat,treated,CP00,GD,SERV,IGD,FOOD,NRG,IGD_NNRG,TOT_X_NRG
AT,1,2014-01,1,0,0,98.09,99.54,96.42,100.07,98.24,109.03,97.38,97.04
AT,1,2014-02,2,0,0,98.39,99.63,96.94,100.21,98.21,109.16,97.51,97.34
AT,1,2014-03,3,0,0,99.21,101.17,96.93,102.29,98.43,108.89,100.31,98.27
AT,1,2014-04,4,0,0,99.33,101.47,96.85,102.59,98.72,108.81,100.72,98.42
AT,1,2014-05,5,0,0,99.43,101.6,96.92,102.63,99.06,109.04,100.7,98.5
AT,1,2014-06,6,0,0,99.41,101.2,97.34,102.16,98.85,109.56,99.93,98.43
AT,1,2014-07,7,0,0,98.76,99.39,98.02,99.61,98.86,109.36,96.68,97.73
AT,1,2014-08,8,0,0,98.8,99.18,98.36,99.38,98.7,108.53,96.62,97.86
AT,1,2014-09,9,0,0,99.7,101.28,97.86,102.34,98.69,109.59,100.15,98.74
AT,1,2014-10,10,0,0,99.71,101.48,97.66,102.52,98.93,107.93,100.89,98.91
AT,1,2014-11,11,0,0,99.85,101.47,97.97,102.44,99.08,106.17,101.32,99.24
AT,1,2014-12,12,0,0,99.89,100.64,99.02,101.2,99.28,101.78,101.03,99.71
AT,1,2015-01,13,0,0,98.49,98.14,98.91,97.59,99.47,98.73,97.26,98.47
AT,1,2015-02,14,0,0,98.76,98.26,99.34,97.69,99.66,99.77,97.08,98.66
AT,1,2015-03,15,0,0,100.16,100.67,99.56,100.91,100.1,101.89,100.61,99.99
AT,1,2015-04,16,0,0,100.26,101.12,99.27,101.45,100.31,102.08,101.26,100.09
AT,1,2015-05,17,0,0,100.43,101.34,99.37,101.72,100.41,103.41,101.23,100.15
AT,1,2015-06,18,0,0,100.39,100.91,99.79,101.18,100.25,103.62,100.46,100.08
AT,1,2015-07,19,0,0,99.9,99.1,100.83,98.69,100.1,102.8,97.48,99.62
