p_val,att,se,method,n,outcome,treated,CT
0.004995004995004995,NA,NA,iid 1000,48,DAA,ES,TRUE
0.0017996400719856027,NA,NA,iid 5000,48,DAA,ES,TRUE
0.0017998200179982003,NA,NA,iid 10000,48,DAA,ES,TRUE
0.03636363636363636,NA,NA,mb,48,DAA,ES,TRUE
0.16683316683316685,NA,NA,iid 1000,48,CP00,ES,TRUE
0.17236552689462106,NA,NA,iid 5000,48,CP00,ES,TRUE
0.18038196180381963,NA,NA,iid 10000,48,CP00,ES,TRUE
0.18518518518518517,NA,NA,mb,48,CP00,ES,TRUE
0.35264735264735264,NA,NA,iid 1000,48,GD,ES,TRUE
0.3733253349330134,NA,NA,iid 5000,48,GD,ES,TRUE
0.35796420357964204,NA,NA,iid 10000,48,GD,ES,TRUE
0.2777777777777778,NA,NA,mb,48,GD,ES,TRUE
0.07992007992007992,NA,NA,iid 1000,48,SERV,ES,TRUE
0.08298340331933612,NA,NA,iid 5000,48,SERV,ES,TRUE
0.08389161083891611,NA,NA,iid 10000,48,SERV,ES,TRUE
0.18518518518518517,NA,NA,mb,48,SERV,ES,TRUE
0.09290709290709291,NA,NA,iid 1000,48,IGD,ES,TRUE
0.08758248350329934,NA,NA,iid 5000,48,IGD,ES,TRUE
0.07839216078392161,NA,NA,iid 10000,48,IGD,ES,TRUE
0.14814814814814814,NA,NA,mb,48,IGD,ES,TRUE
0.3176823176823177,NA,NA,iid 1000,48,FOOD,ES,TRUE
0.33893221355728853,NA,NA,iid 5000,48,FOOD,ES,TRUE
0.33656634336566343,NA,NA,iid 10000,48,FOOD,ES,TRUE
0.5,NA,NA,mb,48,FOOD,ES,TRUE
0.09290709290709291,NA,NA,iid 1000,48,NRG,ES,TRUE
0.08278344331133773,NA,NA,iid 5000,48,NRG,ES,TRUE
0.08589141085891411,NA,NA,iid 10000,48,NRG,ES,TRUE
0.25925925925925924,NA,NA,mb,48,NRG,ES,TRUE
0.5054945054945055,NA,NA,iid 1000,48,IGD_NNRG,ES,TRUE
0.5070985802839432,NA,NA,iid 5000,48,IGD_NNRG,ES,TRUE
0.5115488451154885,NA,NA,iid 10000,48,IGD_NNRG,ES,TRUE
0.5555555555555556,NA,NA,mb,48,IGD_NNRG,ES,TRUE
0.16983016983016982,NA,NA,iid 1000,48,TOT_X_NRG,ES,TRUE
0.17256548690261947,NA,NA,iid 5000,48,TOT_X_NRG,ES,TRUE
0.16878312168783122,NA,NA,iid 10000,48,TOT_X_NRG,ES,TRUE
0.18518518518518517,NA,NA,mb,48,TOT_X_NRG,ES,TRUE
0.001998001998001998,NA,NA,iid 1000,72,DAA,ES,TRUE
1.999600079984003e-4,NA,NA,iid 5000,72,DAA,ES,TRUE
3.9996000399960006e-4,NA,NA,iid 10000,72,DAA,ES,TRUE
0.02531645569620253,NA,NA,mb,72,DAA,ES,TRUE
0.008991008991008992,NA,NA,iid 1000,72,CP00,ES,TRUE
0.008398320335932814,NA,NA,iid 5000,72,CP00,ES,TRUE
0.006699330066993301,NA,NA,iid 10000,72,CP00,ES,TRUE
0.02564102564102564,NA,NA,mb,72,CP00,ES,TRUE
0.06893106893106893,NA,NA,iid 1000,72,GD,ES,TRUE
0.07118576284743051,NA,NA,iid 5000,72,GD,ES,TRUE
0.06669333066693331,NA,NA,iid 10000,72,GD,ES,TRUE
0.08974358974358974,NA,NA,mb,72,GD,ES,TRUE
0.1048951048951049,NA,NA,iid 1000,72,SERV,ES,TRUE
0.11937612477504499,NA,NA,iid 5000,72,SERV,ES,TRUE
0.11358864113588642,NA,NA,iid 10000,72,SERV,ES,TRUE
0.1794871794871795,NA,NA,mb,72,SERV,ES,TRUE
0.04795204795204795,NA,NA,iid 1000,72,IGD,ES,TRUE
0.03959208158368326,NA,NA,iid 5000,72,IGD,ES,TRUE
0.03959604039596041,NA,NA,iid 10000,72,IGD,ES,TRUE
0.11538461538461539,NA,NA,mb,72,IGD,ES,TRUE
0.2837162837162837,NA,NA,iid 1000,72,FOOD,ES,TRUE
0.28274345130973805,NA,NA,iid 5000,72,FOOD,ES,TRUE
0.29267073292670737,NA,NA,iid 10000,72,FOOD,ES,TRUE
