unit,rmspe_ratio,rank,p_val,n,outcome,treated,CT
AT,4.45282190398466,6,0.2608695652173913,48,DAA,ES,TRUE
BE,2.72610402008841,14,0.6086956521739131,48,DAA,ES,TRUE
BG,1.39757444899588,22,0.9565217391304348,48,DAA,ES,TRUE
CZ,6.38166202747483,3,0.13043478260869565,48,DAA,ES,TRUE
DE,36.5813583644053,9,0.391304347826087,48,DAA,ES,TRUE
DK,4.09303338115284,8,0.34782608695652173,48,DAA,ES,TRUE
EE,17.2319491177567,16,0.6956521739130435,48,DAA,ES,TRUE
ES,16.1253292267004,17,0.7391304347826086,48,DAA,ES,TRUE
FI,2.73437990642401,13,0.5652173913043478,48,DAA,ES,TRUE
GR,2.5120549640167,15,0.6521739130434783,48,DAA,ES,TRUE
HR,11.0211575092039,20,0.8695652173913043,48,DAA,ES,TRUE
HU,4.80396490181435,5,0.21739130434782608,48,DAA,ES,TRUE
IT,2.77496005318063,12,0.5217391304347826,48,DAA,ES,TRUE
LT,11.1853942195912,19,0.8260869565217391,48,DAA,ES,TRUE
LU,35.217031975407,10,0.43478260869565216,48,DAA,ES,TRUE
LV,10.5082656575029,21,0.9130434782608695,48,DAA,ES,TRUE
NL,4.23175813272445,7,0.30434782608695654,48,DAA,ES,TRUE
NO,3.32106072579744,11,0.4782608695652174,48,DAA,ES,TRUE
PL,6.86326358968882,2,0.08695652173913043,48,DAA,ES,TRUE
RO,0.21354698035372,23,1,48,DAA,ES,TRUE
SE,5.57397946642001,4,0.17391304347826086,48,DAA,ES,TRUE
SI,11.6716906670598,18,0.782608695652174,48,DAA,ES,TRUE
SK,7.51958258708616,1,0.043478260869565216,48,DAA,ES,TRUE
AT,1.48504471549666,21,0.875,48,CP00,ES,TRUE
BE,2.22164125211749,17,0.7083333333333334,48,CP00,ES,TRUE
BG,1.26049099230186,24,1,48,CP00,ES,TRUE
CZ,3.84345587756263,10,0.4166666666666667,48,CP00,ES,TRUE
DE,3.1008972700077,14,0.5833333333333334,48,CP00,ES,TRUE
DK,4.00051193022767,8,0.3333333333333333,48,CP00,ES,TRUE
EE,3.24604413922116,13,0.5416666666666666,48,CP00,ES,TRUE
GR,1.39773176263293,22,0.9166666666666666,48,CP00,ES,TRUE
ES,10.3810859879712,19,0.7916666666666666,48,CP00,ES,TRUE
FI,6.50319967164522,5,0.20833333333333334,48,CP00,ES,TRUE
HR,2.80308485076379,15,0.625,48,CP00,ES,TRUE
HU,12.0137042143848,18,0.75,48,CP00,ES,TRUE
IE,1.26071692298686,23,0.9583333333333334,48,CP00,ES,TRUE
IT,8.24401838980131,4,0.16666666666666666,48,CP00,ES,TRUE
LT,3.7715373461863,11,0.4583333333333333,48,CP00,ES,TRUE
LU,9.2590566643001,2,0.08333333333333333,48,CP00,ES,TRUE
LV,8.36893934132662,3,0.125,48,CP00,ES,TRUE
NL,4.71042100322911,6,0.25,48,CP00,ES,TRUE
NO,3.37059599572729,12,0.5,48,CP00,ES,TRUE
PL,1.76730981830152,20,0.8333333333333334,48,CP00,ES,TRUE
RO,9.46948839058229,1,0.041666666666666664,48,CP00,ES,TRUE
SE,4.18743024126678,7,0.2916666666666667,48,CP00,ES,TRUE
SI,3.96971639236306,9,0.375,48,CP00,ES,TRUE
SK,2.77489618608447,16,0.6666666666666666,48,CP00,ES,TRUE
AT,5.24625111690691,11,0.4583333333333333,48,GD,ES,TRUE
BE,2.35134594893413,21,0.875,48,GD,ES,TRUE
BG,3.98957515433367,16,0.6666666666666666,48,GD,ES,TRUE
CZ,5.81929533283008,10,0.4166666666666667,48,GD,ES,TRUE
DE,5.84617019024547,9,0.375,48,GD,ES,TRUE
DK,6.53434216500473,6,0.25,48,GD,ES,TRUE
EE,4.79442995646356,12,0.5,48,GD,ES,TRUE
GR,6.89783435042004,5,0.20833333333333334,48,GD,ES,TRUE
ES,7.84842351865098,4,0.16666666666666666,48,GD,ES,TRUE
FI,8.42914646213536,2,0.08333333333333333,48,GD,ES,TRUE
HR,6.11210475901216,7,0.2916666666666667,48,GD,ES,TRUE
HU,14.4824010250331,22,0.9166666666666666,48,GD,ES,TRUE
IE,0.962318426898183,24,1,48,GD,ES,TRUE
IT,6.01792269573937,8,0.3333333333333333,48,GD,ES,TRUE
LT,3.89631149361742,17,0.7083333333333334,48,GD,ES,TRUE
LU,8.27230692381752,3,0.125,48,GD,ES,TRUE
LV,8.92940895335176,1,0.041666666666666664,48,GD,ES,TRUE
NL,4.07120544513869,15,0.625,48,GD,ES,TRUE
NO,3.04888323939579,19,0.7916666666666666,48,GD,ES,TRUE
PL,2.52864959637761,20,0.8333333333333334,48,GD,ES,TRUE
